Length,PreviousLength,InterArrivalTime,Type,Predict
1484,260,0.01189,Null,Null
1484,260,0.011892,Null,Null
1484,260,0.012123,Null,Null
1484,260,0.012338,Null,Null
1484,260,0.01234,Null,Null
1484,260,0.012559,Null,Null
1484,260,0.01256,Null,Null
1484,260,0.012792,Null,Null
1484,260,0.012794,Null,Null
1484,260,0.013036,Null,Null
1484,260,0.013037,Null,Null
1484,260,0.013295,Null,Null
1484,260,0.013295,Null,Null
1484,260,0.013527,Null,Null
1484,260,0.013528,Null,Null
1484,260,0.013531,Null,Null
1484,260,0.013766,Null,Null
1484,260,0.014009,Null,Null
1484,260,0.01401,Null,Null
1484,260,0.01401,Null,Null
1484,260,0.014241,Null,Null
1484,260,0.014457,Null,Null
1484,260,0.014459,Null,Null
1484,260,0.014459,Null,Null
1484,260,0.014704,Null,Null
1484,260,0.014704,Null,Null
1484,260,0.014934,Null,Null
1484,260,0.014935,Null,Null
1484,260,0.015206,Null,Null
1484,260,0.015207,Null,Null
1484,260,0.015432,Null,Null
1484,260,0.015433,Null,Null
1484,260,0.015677,Null,Null
1484,260,0.015678,Null,Null
1484,260,0.015897,Null,Null
1484,260,0.016133,Null,Null
1484,260,0.016378,Null,Null
1484,260,0.016379,Null,Null
1484,260,0.016615,Null,Null
1484,260,0.016616,Null,Null
1484,260,0.016877,Null,Null
1484,260,0.016878,Null,Null
1484,260,0.017104,Null,Null
1484,260,0.017104,Null,Null
1484,260,0.017342,Null,Null
1484,260,0.017342,Null,Null
1484,260,0.017564,Null,Null
1484,260,0.017565,Null,Null
1484,260,0.017799,Null,Null
1484,260,0.017799,Null,Null
1484,260,0.018017,Null,Null
1484,260,0.018017,Null,Null
1484,260,0.018018,Null,Null
1484,260,0.018227,Null,Null
400,260,0.018228,Null,ServerHelloDone
1484,260,0.018446,Null,Null
646,260,0.018447,Null,ServerHelloDone
108,260,0.018448,Null,ServerHelloDone
1484,260,0.018448,Null,Null
1484,260,0.018667,Null,Null
1484,260,0.018667,Null,Null
1484,260,0.019083,Null,Null
1484,260,0.019084,Null,Null
1484,260,0.019316,Null,Null
1484,260,0.019317,Null,Null
100,1484,6.99999999938e-05,Null,Null
1484,100,0.000163000000001,Null,Null
1484,100,0.000164000000005,Null,Null
1267,100,0.000398000000004,Null,Null
1484,100,0.000399000000002,Null,Null
768,100,0.000671000000004,ServerHelloDone,Null
1484,100,0.00108400000001,Null,Null
768,100,0.001328,ServerHelloDone,Null
147,768,0.010928,ClientKeyExchange,ClientKeyExchange
141,768,0.011016,Null,Null
227,768,0.011157,Null,Null
147,768,0.011576,ClientKeyExchange,ClientKeyExchange
141,768,0.011717,Null,Null
338,141,0.010865,Finished,Finished
123,141,0.010867,Null,Null
92,123,0.000661000000001,Null,Null
92,92,0.00117,Null,Null
338,92,0.00141,Finished,Finished
123,92,0.00141,Null,Null
92,338,0.000399000000002,Null,Null
320,92,0.00664099999999,Null,Null
1484,92,0.007118,Null,Null
589,92,0.007119,Null,Null
100,92,0.00712,Null,Null
100,100,0.000346,Null,Null
92,100,0.00497,Null,Null
257,0,-1.0,ClientHello,ClientHello
257,0,-1.0,ClientHello,ClientHello
288,92,0.080829,Null,Finished
271,92,0.082789,Null,Null
1484,257,0.013226,Null,Null
352,257,0.013515,ServerHelloDone,ServerHelloDone
163,271,0.011564,Null,Finished
1484,271,0.012,Null,Null
1484,271,0.012002,Null,Null
1484,271,0.012242,Null,Null
1484,271,0.012242,Null,Null
1484,271,0.012485,Null,Null
1484,271,0.012486,Null,Null
1484,271,0.012713,Null,Null
1484,271,0.012925,Null,Null
1484,271,0.013146,Null,Null
1484,271,0.013357,Null,Null
1484,271,0.013359,Null,Null
1484,271,0.013576,Null,Null
1484,271,0.013576,Null,Null
1484,271,0.013789,Null,Null
1484,271,0.01379,Null,Null
1311,271,0.013791,Null,Null
100,271,0.013792,Null,Null
100,100,0.000325000000004,Null,Null
102,100,0.005215,Null,Null
258,1319,0.179621,ClientHello,Null
258,1319,0.179879,ClientHello,Null
1484,258,0.00359099999999,Null,Null
1320,258,0.00383799999999,ServerHelloDone,Null
1484,258,0.004268,Null,Null
1319,258,0.004486,ServerHelloDone,Null
1484,257,0.076134,Null,Null
352,257,0.076397,ServerHelloDone,ServerHelloDone
147,1319,0.223899,ClientKeyExchange,Null
141,1319,0.224104,Null,Null
147,1319,0.224412,ClientKeyExchange,Null
316,1319,0.224631,Null,Null
147,1319,0.224676,ClientKeyExchange,Null
147,1319,0.224715,ClientKeyExchange,Null
141,1319,0.224716,Null,Null
141,1319,0.22478,Null,Null
141,1319,0.224791,Null,Null
276,1319,0.224806,Null,Null
338,276,0.002394,Finished,Null
123,276,0.002394,Null,Null
92,276,0.00267400000001,Null,Null
338,276,0.002675,Finished,Null
123,276,0.002675,Null,Null
92,276,0.002675,Null,Null
92,338,0.000261999999999,Null,Null
92,338,0.000541999999996,Null,Null
338,92,0.000246000000004,Finished,Finished
123,92,0.000247000000002,Null,Null
346,92,0.000247000000002,Null,Null
92,123,0.00047,Null,Null
1484,92,1.50000000048e-05,Null,Null
1484,92,0.000240000000005,Null,Null
338,92,0.000241000000003,Finished,Finished
1484,92,0.000242,Null,Null
1484,92,0.000514000000003,Null,Null
1484,92,0.000516000000005,Null,Null
1484,92,0.000750000000004,Null,Null
1484,92,0.000989000000004,Null,Null
1484,92,0.000990999999999,Null,Null
1484,92,0.001231,Null,Null
123,92,0.001232,Null,Null
92,92,0.001232,Null,Null
92,92,0.001233,Null,Null
314,92,0.001233,Null,Null
1484,92,0.001235,Null,Null
1484,92,0.00152900000001,Null,Null
1484,92,0.00153,Null,Null
1484,92,0.001532,Null,Null
1484,92,0.001533,Null,Null
412,92,0.001533,Null,Null
100,92,0.001533,Null,Null
92,1484,1.60000000022e-05,Null,Null
1484,92,0.000229999999995,Null,Null
100,1484,3.70000000061e-05,Null,Null
1484,100,0.000370999999994,Null,Null
1484,100,0.000597999999997,Null,Null
1484,100,0.000599999999999,Null,Null
1484,100,0.001355,Null,Null
1484,100,0.001593,Null,Null
1484,100,0.001833,Null,Null
1484,100,0.001833,Null,Null
1484,100,0.00289299999999,Null,Null
1484,100,0.00316599999999,Null,Null
1484,100,0.003169,Null,Null
1484,100,0.003169,Null,Null
1484,100,0.003407,Null,Null
1484,100,0.003409,Null,Null
1484,100,0.003673,Null,Null
1484,100,0.003674,Null,Null
1484,100,0.00391999999999,Null,Null
1484,100,0.00391999999999,Null,Null
1484,100,0.004168,Null,Null
1484,100,0.004169,Null,Null
1484,100,0.004403,Null,Null
1484,100,0.004403,Null,Null
1484,100,0.004661,Null,Null
1484,100,0.004921,Null,Null
1484,100,0.004924,Null,Null
736,100,0.004924,Null,Null
100,1484,0.00029,Null,Null
258,0,-1.0,ClientHello,ClientHello
258,0,-1.0,ClientHello,ClientHello
1484,258,0.005074,Null,Null
750,258,0.005346,ServerHelloDone,ServerHelloDone
1484,258,0.005348,Null,Null
750,258,0.005632,ServerHelloDone,ServerHelloDone
147,352,0.399271,ClientKeyExchange,Null
141,352,0.399451,Null,Null
387,352,0.399524,Null,Null
338,387,0.00855900000001,Finished,Null
123,387,0.00856,Null,Null
92,123,0.000869000000002,Null,Null
92,92,0.000375999999996,Null,Null
307,92,0.000375999999996,Null,Null
350,92,0.000377,Null,Null
100,92,0.000619999999998,Null,Null
100,100,0.000312000000001,Null,Null
147,100,0.000522000000004,ClientKeyExchange,Null
141,100,0.000598000000004,Null,Null
338,141,0.01451,Finished,Finished
123,141,0.01451,Null,Null
92,338,0.000638000000002,Null,Null
92,92,0.014193,Null,Null
147,750,0.408155,ClientKeyExchange,Null
147,750,0.408293,ClientKeyExchange,Null
141,750,0.408321,Null,Null
473,750,0.408422,Null,Null
141,750,0.408428,Null,Null
338,141,0.002805,Finished,Finished
338,141,0.002807,Finished,Finished
123,141,0.002808,Null,Null
123,141,0.002808,Null,Null
92,141,0.002808,Null,Null
92,141,0.00329,Null,Null
341,141,0.00329,Null,Finished
92,92,0.000298000000001,Null,Null
92,92,0.000306999999999,Null,Null
1484,92,0.000124,Null,Null
1484,92,0.000126999999999,Null,Null
1484,92,0.000376000000003,Null,Null
1484,92,0.000377,Null,Null
1484,92,0.000611999999997,Null,Null
1484,92,0.000863000000003,Null,Null
1484,92,0.001103,Null,Null
1484,92,0.001104,Null,Null
1484,92,0.001348,Null,Null
1484,92,0.001993,Null,Null
1484,92,0.002244,Null,Null
1484,92,0.002245,Null,Null
1484,92,0.002482,Null,Null
1484,92,0.002765,Null,Null
1484,92,0.002768,Null,Null
1484,92,0.003009,Null,Null
1484,92,0.00301,Null,Null
1484,92,0.003262,Null,Null
1484,92,0.003778,Null,Null
1484,92,0.00378,Null,Null
1484,92,0.004006,Null,Null
1484,92,0.004219,Null,Null
1484,92,0.004221,Null,Null
1484,92,0.004467,Null,Null
1484,92,0.004467,Null,Null
1484,92,0.004691,Null,Null
1484,92,0.004691,Null,Null
1484,92,0.004956,Null,Null
1484,92,0.004957,Null,Null
1484,92,0.005188,Null,Null
1484,92,0.005189,Null,Null
1484,92,0.005411,Null,Null
1484,92,0.005412,Null,Null
1484,92,0.005653,Null,Null
775,92,0.005654,Null,Null
100,775,0.000334000000002,Null,Null
254,0,-1.0,ClientHello,ClientHello
254,0,-1.0,ClientHello,ClientHello
1514,254,0.104243,Null,Null
1320,254,0.104497,ServerHelloDone,Null
1514,254,0.104499,Null,Null
1320,254,0.104769,ServerHelloDone,Null
180,1320,0.20113,ClientKeyExchange,Null
180,1320,0.201236,ClientKeyExchange,Null
141,1320,0.201402,Null,Null
141,1320,0.201439,Null,Null
267,1320,0.201443,Null,Null
312,267,0.101773,Finished,ServerHelloDone
123,267,0.101774,Null,Null
92,267,0.101774,Null,Null
312,267,0.102085,Finished,ServerHelloDone
123,267,0.102086,Null,Null
92,267,0.102086,Null,Null
441,267,0.102332,Null,Null
92,441,0.000374000000001,Null,Null
92,441,0.000636,Null,Null
258,0,-1.0,ClientHello,ClientHello
258,0,-1.0,ClientHello,ClientHello
1514,258,0.00627100000001,Null,Null
1320,258,0.006515,ServerHelloDone,Null
1514,258,0.007302,Null,Null
1320,258,0.007536,ServerHelloDone,Null
180,1320,0.197926,ClientKeyExchange,Null
180,1320,0.198043,ClientKeyExchange,Null
141,1320,0.198208,Null,Null
141,1320,0.198213,Null,Null
376,1320,0.198234,Null,Null
312,376,0.009087,Finished,Null
132,376,0.009088,Null,Null
312,376,0.009383,Finished,Null
132,376,0.009384,Null,Null
92,132,0.000557999999998,Null,Null
92,132,0.000885999999994,Null,Null
1514,92,0.737814,Null,Null
535,92,0.73812,Null,Null
1514,92,0.738121,Null,Null
1259,92,0.738365,Null,Null
92,92,0.738366,Null,Null
1514,92,0.738591,Null,Null
1259,92,0.73883,Null,Null
1514,92,0.739071,Null,Null
1297,92,0.739355,Null,Null
1514,92,0.741521,Null,Null
1514,92,0.743871,Null,Null
1072,92,0.744167,Null,Null
264,0,-1.0,ClientHello,ClientHello
264,0,-1.0,ClientHello,ClientHello
264,0,-1.0,ClientHello,ClientHello
264,0,-1.0,ClientHello,ClientHello
264,0,-1.0,ClientHello,ClientHello
1514,264,0.002137,Null,Null
1514,264,0.002149,Null,Null
1038,264,0.002438,ServerHelloDone,ServerHelloDone
1514,264,0.003003,Null,Null
1514,264,0.00326,Null,Null
1038,264,0.00326,ServerHelloDone,ServerHelloDone
264,1514,0.000298000000001,ClientHello,Null
1514,264,0.000821999999999,Null,Null
1514,264,0.000823000000004,Null,Null
1038,264,0.001073,ServerHelloDone,ServerHelloDone
1514,264,0.001318,Null,Null
1514,264,0.001321,Null,Null
1038,264,0.001564,ServerHelloDone,ServerHelloDone
1514,264,0.002127,Null,Null
1514,264,0.002557,Null,Null
1038,264,0.002558,ServerHelloDone,ServerHelloDone
1514,264,0.005936,Null,Null
1514,264,0.005937,Null,Null
1038,264,0.006248,ServerHelloDone,ServerHelloDone
263,0,-1.0,ClientHello,ClientHello
263,0,-1.0,ClientHello,ClientHello
1484,263,0.003571,Null,Null
445,263,0.00385900000001,ServerHelloDone,Null
1484,263,0.004153,Null,Null
444,263,0.004401,ServerHelloDone,Null
1514,92,0.928621,Null,Null
1259,92,0.928914,Null,Null
1514,92,0.928915,Null,Null
1259,92,0.92915,Null,Null
1514,92,0.929395,Null,Null
1514,92,0.929635,Null,Null
1058,92,0.929635,Null,Null
92,92,0.929646,Null,Null
179,441,1.178887,Null,Null
147,1038,0.194015,ClientKeyExchange,Null
147,1038,0.194016,ClientKeyExchange,Null
147,1038,0.194372,ClientKeyExchange,Null
147,1038,0.194396,ClientKeyExchange,Null
147,1038,0.194435,ClientKeyExchange,Null
141,1038,0.194456,Null,Null
141,1038,0.194486,Null,Null
141,1038,0.194488,Null,Null
141,1038,0.194503,Null,Null
141,1038,0.19452,Null,Null
281,1038,0.194546,Null,Null
134,1038,0.19457,Null,Null
137,1038,0.194589,Null,Null
137,1038,0.194605,Null,Null
144,1038,0.194624,Null,Null
146,1038,0.19464,Null,Null
144,1038,0.194656,Null,Null
144,1038,0.19471,Null,Null
148,1038,0.19473,Null,Null
146,1038,0.194746,Null,Null
144,1038,0.194775,Null,Null
